as_of_utc,outlet,distinct_successful_recipients,batches,latest_hub_update_recipients,immediate_delivery_failures
2026-09-09T17:08:00Z,404 Media,4,"1;2",1,0
2026-09-09T17:08:00Z,ABC News,1,"4",0,0
2026-09-09T17:08:00Z,Android Authority,1,"8",1,0
2026-09-09T17:08:00Z,Ars Technica,2,"1;6",1,0
2026-09-09T17:08:00Z,Axios,1,"3",0,0
2026-09-09T17:08:00Z,BleepingComputer,4,"5",1,0
2026-09-09T17:08:00Z,Bloomberg,1,"1",0,0
2026-09-09T17:08:00Z,Business Insider,1,"5",0,0
2026-09-09T17:08:00Z,CNBC,2,"4",0,0
2026-09-09T17:08:00Z,Computerworld,4,"5",0,0
2026-09-09T17:08:00Z,CyberScoop,1,"5",0,0
2026-09-09T17:08:00Z,Digital Trends,1,"8",1,0
2026-09-09T17:08:00Z,Engadget,3,"1;2",1,0
2026-09-09T17:08:00Z,Fast Company,1,"3",0,0
2026-09-09T17:08:00Z,Forbes,2,"1;2",1,0
2026-09-09T17:08:00Z,Futurism,1,"6",1,0
2026-09-09T17:08:00Z,Gizmodo,1,"1",0,0
2026-09-09T17:08:00Z,How-To Geek,1,"7",1,0
2026-09-09T17:08:00Z,Laptop Mag,1,"8",1,1
2026-09-09T17:08:00Z,Mother Jones,1,"4",0,0
2026-09-09T17:08:00Z,PCWorld,1,"8",1,0
2026-09-09T17:08:00Z,Platformer,1,"6",1,0
2026-09-09T17:08:00Z,Rest of World,1,"3",0,0
2026-09-09T17:08:00Z,Reuters,1,"4",0,0
2026-09-09T17:08:00Z,Slate,1,"4",0,0
2026-09-09T17:08:00Z,Tech Policy Press,1,"3",1,0
2026-09-09T17:08:00Z,TechCrunch,1,"1",0,0
2026-09-09T17:08:00Z,TechRadar,1,"1",0,0
2026-09-09T17:08:00Z,TechSpot,1,"6",1,0
2026-09-09T17:08:00Z,The Atlantic,1,"4",0,0
2026-09-09T17:08:00Z,The Decoder,1,"7",1,0
2026-09-09T17:08:00Z,The Deep View,1,"7",1,0
2026-09-09T17:08:00Z,The Register,5,"1;2",0,0
2026-09-09T17:08:00Z,The Verge,1,"6",1,0
2026-09-09T17:08:00Z,The Washington Post,1,"6",1,0
2026-09-09T17:08:00Z,Tom's Guide,1,"8",1,0
2026-09-09T17:08:00Z,Tom's Hardware,1,"1",0,0
2026-09-09T17:08:00Z,VentureBeat,1,"1",0,0
2026-09-09T17:08:00Z,Windows Central,1,"7",1,0
2026-09-09T17:08:00Z,Windows Latest,1,"7",1,0
2026-09-09T17:08:00Z,WIRED,6,"3",0,0
